"Pitcher.Id","Pitcher","Bat.Side","Pitch.Type","Baseline.Action.fxwOBA","Baseline.Horz.Break","Baseline.Ind.Vert.Break","Optimal.Action.fxwOBA","Optimal.Horz.Break","Optimal.Ind.Vert.Break","Action.fxwOBA.Diff","Optimal.Latitude","Optimal.Longitude"
596271,"Lawrence, Casey","Left","FC",0.326161002229337,-1.34391588757972,6.99923816242733,0.318871848344816,-3.0626232624054,6.61476135253906,-0.007289153884521,16,176
596271,"Lawrence, Casey","Right","FC",0.290612992880434,-2.55253124691672,6.00939820782613,0.284674864461344,-3.92267680168152,5.07433176040649,-0.0059381284190903,20,176
596271,"Lawrence, Casey","Left","SI",0.341796386814168,15.0507438305727,3.920153995611,0.339358625306212,18.037296295166,4.59747362136841,-0.00243776150795555,78,178
596271,"Lawrence, Casey","Right","SI",0.327452871175493,15.1146738621616,4.20683190342068,0.320350207664405,15.2851390838623,8.56541442871094,-0.00710266351108746,78,10
596271,"Lawrence, Casey","Left","SW",0.364184538168044,-11.994540923681,5.13044139055105,0.349231714463156,-16.5606708526611,6.4173378944397,-0.0149528237048886,48,-94
596271,"Lawrence, Casey","Right","SW",0.330815559589768,-12.1456790124216,5.01629834328928,0.304079883707801,-16.5186042785645,5.13820695877075,-0.0267356758819667,48,-90
605242,"Fulmer, Michael","Left","CH",0.332485473363567,12.4659966060093,4.46936818105834,0.298527863834781,13.7154598236084,2.37632155418396,-0.0339576095287866,-60,-74
605242,"Fulmer, Michael","Right","CH",0.352292527931149,11.9504987001419,5.72578006982803,0.30072556975514,14.9723339080811,3.67425537109375,-0.0515669581760081,64,98
605242,"Fulmer, Michael","Left","FA",0.328076409335539,1.06840565271977,14.5974656018344,0.3022313519447,-0.379683405160904,10.900318145752,-0.0258450573908392,-12,-148
605242,"Fulmer, Michael","Right","FA",0.320074518443642,0.788213125921579,14.6098332140181,0.309577146463095,14.6334705352783,10.3508052825928,-0.0104973719805477,-70,180
605242,"Fulmer, Michael","Left","SI",0.366460590084738,11.7240398033806,9.96216998929563,0.301227524582961,-0.295399993658066,9.51043128967285,-0.0652330655017762,-10,-148
605242,"Fulmer, Michael","Right","SI",0.335848735026952,11.9775681689503,10.3850050554043,0.296412669090526,15.7903785705566,7.85867881774902,-0.0394360659364255,-70,180
605242,"Fulmer, Michael","Left","SL",0.308346583481992,-4.90272788878145,3.91619949073627,0.288823893167601,-7.61735820770264,2.6800901889801,-0.0195226903143917,-6,180
605242,"Fulmer, Michael","Right","SL",0.308213004804446,-5.11188797885869,3.56719827619033,0.30142436618072,-7.03389167785645,2.53045225143433,-0.00678863862372631,-22,-172
605242,"Fulmer, Michael","Left","SW",0.319975970553512,-17.0294616148644,-2.09804890297123,0.296881763967281,-21.0151081085205,-0.873029053211212,-0.0230942065862316,46,-90
605242,"Fulmer, Michael","Right","SW",0.304846378598257,-16.8760175251853,-1.79736956641525,0.269720518739578,-20.5402126312256,-0.227476716041565,-0.0351258598586793,46,-90
622491,"Castillo, Luis","Left","CH",0.311462083672563,17.3727675533295,-0.619662766307592,0.285771806070505,18.449348449707,-2.72180604934692,-0.0256902776020581,22,90
622491,"Castillo, Luis","Right","CH",0.306280651361167,17.3314211918758,-0.115913970109362,0.271707016964989,18.6312160491943,-2.37998533248901,-0.0345736343961781,20,90
622491,"Castillo, Luis","Left","FA",0.354856134333526,13.8447761128381,11.6601837962548,0.320397861718756,18.5234451293945,2.08129787445068,-0.0344582726147696,-72,-84
622491,"Castillo, Luis","Right","FA",0.297717030170296,13.395806717473,12.2505331412374,0.260368418882239,18.8532829284668,5.24115133285522,-0.0373486112880577,-90,66
622491,"Castillo, Luis","Left","SI",0.32002885254268,17.9286183443936,2.95786077637846,0.317664790266382,18.3853302001953,0.586383879184723,-0.00236406227629771,76,86
622491,"Castillo, Luis","Right","SI",0.265620218297121,18.1393537003865,2.85178253853463,0.265831529044067,18.9738903045654,0.407606989145279,0.00021131074694547,76,86
622491,"Castillo, Luis","Left","SL",0.329214864667342,-0.755120222905168,-0.0269890883362588,0.310846139336654,-0.821316063404083,-2.49440169334412,-0.0183687253306877,-50,176
622491,"Castillo, Luis","Right","SL",0.304129777149699,-0.562495405643302,0.933189612628741,0.298740912505875,0.984407842159271,-1.06417810916901,-0.00538886464382388,84,180
642048,"Saucedo, Tayler","Left","CH",0.332529259804782,-17.2464059193929,1.37279633680979,0.289373266183897,-18.447078704834,-0.561669707298279,-0.0431559936208851,-74,102
642048,"Saucedo, Tayler","Right","CH",0.342528337234704,-17.2946430427441,4.56163748321326,0.317114630738165,-19.3703937530518,1.69904541969299,-0.0254137064965398,-82,100
642048,"Saucedo, Tayler","Left","CU",0.30643143462242,14.1682364145915,-8.62581324577332,0.274884781478572,18.2776889801025,0.0047520762309432,-0.0315466531438478,84,-114
642048,"Saucedo, Tayler","Right","CU",0.350683288706863,13.0957119199965,-8.4669060309728,0.341458393359526,19.725923538208,-3.73894572257996,-0.00922489534733667,-48,-92
642048,"Saucedo, Tayler","Left","FA",0.331532319685119,-10.13003806064,14.0075403012727,0.252060922243655,-17.9069137573242,4.66393280029297,-0.0794713974414639,-70,106
642048,"Saucedo, Tayler","Right","FA",0.364150247811914,-9.77834431330363,13.562050792906,0.342365461012056,-8.33837604522705,7.44425916671753,-0.0217847867998585,34,-42
